,stock_code,free_shares_SBL,day_start,difference,free_shares_SBL_SMA
00633L,00633L,1261059.0,1261059.0,1.0,1261059.0
00631L,00631L,1066554.0,1066554.0,1.0,1066554.0
006208,006208,265569.0,265569.0,1.0,265569.0
006207,006207,24097.0,24097.0,1.0,24097.0
006206,006206,7835.0,7835.0,1.0,7835.0
006205,006205,62871.0,62871.0,1.0,62871.0
006204,006204,4564.0,4564.0,1.0,4564.0
006203,006203,797.0,797.0,1.0,797.0
006201,006201,13397.0,13397.0,1.0,13397.0
0061,0061,26318.0,26318.0,1.0,26318.0
0057,0057,531.0,531.0,1.0,531.0
0056,0056,286.0,286.0,1.0,286.0
0055,0055,27508.0,27508.0,1.0,27508.0
0053,0053,953.0,953.0,1.0,953.0
0052,0052,37676.0,37676.0,1.0,37676.0
0051,0051,4568.0,4568.0,1.0,4568.0
00639,00639,38145.0,38145.0,1.0,38145.0
00670L,00670L,496798.0,496798.0,1.0,496798.0
00640L,00640L,21868.0,21868.0,1.0,21868.0
00642U,00642U,371261.0,371261.0,1.0,371261.0
00668,00668,12476.0,12476.0,1.0,12476.0
00666R,00666R,81500.0,81500.0,1.0,81500.0
00665L,00665L,2134892.0,2134892.0,1.0,2134892.0
00664R,00664R,1165802.0,1165802.0,1.0,1165802.0
00663L,00663L,46143.0,46143.0,1.0,46143.0
00662,00662,66066.0,66066.0,1.0,66066.0
00661,00661,1119.0,1119.0,1.0,1119.0
00660,00660,1290.0,1290.0,1.0,1290.0
00657,00657,1371.0,1371.0,1.0,1371.0
00656R,00656R,119763.0,119763.0,1.0,119763.0
00655L,00655L,328287.0,242287.0,1.0,328287.0
00654R,00654R,69355.0,69355.0,1.0,69355.0
00653L,00653L,25597.0,25597.0,1.0,25597.0
00652,00652,21851.0,21851.0,1.0,21851.0
00651R,00651R,183444.0,183444.0,1.0,183444.0
00650L,00650L,1601570.0,1601570.0,1.0,1601570.0
00648R,00648R,367488.0,367488.0,1.0,367488.0
00647L,00647L,38693.0,38693.0,1.0,38693.0
00646,00646,85219.0,85219.0,1.0,85219.0
00645,00645,7794.0,7794.0,1.0,7794.0
00643,00643,38831.0,38831.0,1.0,38831.0
00641R,00641R,48199.0,48199.0,1.0,48199.0
00728,00728,35068.0,35068.0,1.0,35068.0
00724B,00724B,18783.0,18783.0,1.0,18783.0
00731,00731,118373.0,118373.0,1.0,118373.0
00840B,00840B,10113.0,10113.0,1.0,10113.0
00836B,00836B,11612.0,11612.0,1.0,11612.0
00834B,00834B,11513.0,11513.0,1.0,11513.0
00831B,00831B,200.0,200.0,1.0,200.0
00830,00830,467658.0,467658.0,1.0,467658.0
00799B,00799B,10776.0,10776.0,1.0,10776.0
00795B,00795B,78567.0,78567.0,1.0,78567.0
00794B,00794B,10873.0,10873.0,1.0,10873.0
00793B,00793B,11893.0,11893.0,1.0,11893.0
00841B,00841B,10743.0,10743.0,1.0,10743.0
00792B,00792B,15533.0,15533.0,1.0,15533.0
00790B,00790B,10000.0,10000.0,1.0,10000.0
00789B,00789B,10313.0,10313.0,1.0,10313.0
00788B,00788B,12520.0,12520.0,1.0,12520.0
00787B,00787B,12816.0,12816.0,1.0,12816.0
00786B,00786B,12507.0,12507.0,1.0,12507.0
00785B,00785B,11205.0,11205.0,1.0,11205.0
00784B,00784B,10226.0,10226.0,1.0,10226.0
00730,00730,22858.0,22858.0,1.0,22858.0
00782B,00782B,13217.0,13217.0,1.0,13217.0
00791B,00791B,10206.0,10206.0,1.0,10206.0
00842B,00842B,11366.0,11366.0,1.0,11366.0
00844B,00844B,253.0,253.0,1.0,253.0
00845B,00845B,12266.0,12266.0,1.0,12266.0
00875,00875,33272.0,33272.0,1.0,33272.0
00870B,00870B,11779.0,11779.0,1.0,11779.0
00867B,00867B,310.0,310.0,1.0,310.0
00865B,00865B,12202.0,12202.0,1.0,12202.0
00864B,00864B,51284.0,51284.0,1.0,51284.0
00863B,00863B,12407.0,12407.0,1.0,12407.0
00862B,00862B,69723.0,69723.0,1.0,69723.0
00861,00861,26177.0,26177.0,1.0,26177.0
00860B,00860B,10593.0,10593.0,1.0,10593.0
00859B,00859B,30320.0,30320.0,1.0,30320.0
00858,00858,17133.0,17133.0,1.0,17133.0
00857B,00857B,12203.0,12203.0,1.0,12203.0
00856B,00856B,10795.0,10795.0,1.0,10795.0
00853B,00853B,42079.0,42079.0,1.0,42079.0
00852L,00852L,145115.0,145115.0,1.0,145115.0
00851,00851,3241.0,3241.0,1.0,3241.0
00850,00850,160685.0,160685.0,1.0,160685.0
00849B,00849B,11253.0,11253.0,1.0,11253.0
00848B,00848B,13190.0,13190.0,1.0,13190.0
00847B,00847B,21644.0,21644.0,1.0,21644.0
00846B,00846B,10206.0,10206.0,1.0,10206.0
00781B,00781B,12260.0,12260.0,1.0,12260.0
00780B,00780B,11243.0,11243.0,1.0,11243.0
00783,00783,10028.0,10028.0,1.0,10028.0
00778B,00778B,10250.0,10250.0,1.0,10250.0
